iter	Passed	Remaining
0	142	142349
1	148	73986
2	153	51092
3	159	39725
4	165	32893
5	170	28294
6	176	25056
7	182	22635
8	187	20683
9	193	19185
10	198	17865
11	203	16736
12	208	15860
13	212	14996
14	216	14234
15	219	13487
16	223	12937
17	227	12416
18	232	11982
19	235	11527
20	238	11127
21	242	10768
22	245	10435
23	248	10110
24	252	9834
25	255	9572
26	258	9330
27	262	9103
28	265	8899
29	269	8705
30	272	8522
31	276	8355
32	278	8166
33	282	8016
34	285	7878
35	289	7744
36	292	7623
37	296	7504
38	299	7387
39	303	7282
40	306	7179
41	310	7084
42	314	6995
43	317	6907
44	321	6820
45	324	6739
46	328	6662
47	332	6588
48	335	6515
49	338	6437
50	342	6366
51	345	6301
52	349	6242
53	352	6183
54	355	6115
55	359	6058
56	362	6001
57	366	5947
58	369	5896
59	373	5844
60	376	5797
61	380	5754
62	383	5710
63	387	5671
64	391	5625
65	394	5585
66	398	5544
67	401	5505
68	405	5467
69	408	5420
70	411	5385
71	415	5349
72	418	5309
73	420	5266
74	424	5233
75	427	5194
76	430	5160
77	433	5122
78	437	5096
79	440	5068
80	444	5040
81	447	5014
82	451	4985
83	454	4959
84	458	4933
85	461	4908
86	465	4886
87	469	4861
88	472	4832
89	475	4808
90	479	4785
91	482	4764
92	486	4742
93	489	4720
94	493	4699
95	496	4677
96	500	4657
97	503	4637
98	507	4617
99	510	4598
100	514	4578
101	517	4560
102	521	4541
103	524	4521
104	528	4502
105	531	4485
106	535	4468
107	539	4453
108	542	4431
109	545	4414
110	549	4399
111	552	4379
112	555	4362
113	559	4347
114	562	4330
115	566	4314
116	569	4301
117	573	4285
118	576	4270
119	580	4257
120	584	4245
121	587	4230
122	590	4213
123	593	4193
124	596	4176
125	600	4164
126	603	4146
127	606	4130
128	609	4114
129	613	4102
130	616	4090
131	619	4073
132	623	4062
133	626	4048
134	630	4037
135	633	4025
136	637	4013
137	640	4001
138	644	3990
139	647	3978
140	651	3966
141	654	3954
142	657	3943
143	660	3925
144	663	3913
145	667	3901
146	670	3891
147	674	3880
148	677	3870
149	681	3860
150	684	3849
151	688	3839
152	691	3828
153	693	3810
154	697	3800
155	700	3790
156	704	3781
157	707	3771
158	711	3762
159	714	3753
160	718	3743
